text,author,tags,index_on_page,page_num,html_file,processed_text,cluster
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,['inspirational'],9,6,data/quotes/html/quotes_page_6.html,“ one door happiness close another open often look long closed door see one opened u ”,2
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"['inspirational', 'life', 'yourself']",10,6,data/quotes/html/quotes_page_6.html,“ life isnt finding life creating ”,5
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,['alcohol'],1,7,data/quotes/html/quotes_page_7.html,“ thats problem drinking thought poured drink something bad happens drink attempt forget something good happens drink order celebrate nothing happens drink make something happen ”,5
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,['the-hunger-games'],2,7,data/quotes/html/quotes_page_7.html,“ ’ forget face person last hope ”,2
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,['humor'],3,7,data/quotes/html/quotes_page_7.html,“ remember madly love right kiss anytime feel like ”,1
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,['love'],4,7,data/quotes/html/quotes_page_7.html,“ love vulnerable love anything heart wrung possibly broken want make sure keeping intact must give one even animal wrap carefully round hobby little luxury avoid entanglement lock safe casket coffin selfishness casket safe dark motionless airless change broken become unbreakable impenetrable irredeemable love vulnerable ”,1
“Not all those who wander are lost.”,J.R.R. Tolkien,"['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']",5,7,data/quotes/html/quotes_page_7.html,“ wander lost ”,0
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,['live-death-love'],6,7,data/quotes/html/quotes_page_7.html,“ pity dead harry pity living live without love ”,1
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,"['good', 'writing']",7,7,data/quotes/html/quotes_page_7.html,“ nothing writing sit typewriter bleed ”,0
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,"['life', 'regrets']",8,7,data/quotes/html/quotes_page_7.html,“ finish day done done could blunder absurdity doubt crept forget soon tomorrow new day shall begin serenely high spirit encumbered old nonsense ”,0
“I have never let my schooling interfere with my education.”,Mark Twain,['education'],9,7,data/quotes/html/quotes_page_7.html,“ never let schooling interfere education ”,6
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,['troubles'],10,7,data/quotes/html/quotes_page_7.html,“ heard trouble one kind come ahead come behind ive bought big bat im ready see trouble going trouble ”,2
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"['friendship', 'love']",1,8,data/quotes/html/quotes_page_8.html,“ flower every time thought youi could walk garden forever ”,0
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,['humor'],2,8,data/quotes/html/quotes_page_8.html,“ people never go crazy truly horrible life must lead ”,6
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"['humor', 'open-mind', 'thinking']",3,8,data/quotes/html/quotes_page_8.html,“ trouble open mind course people insist coming along trying put thing ”,0
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"['humor', 'philosophy']",4,8,data/quotes/html/quotes_page_8.html,“ think left think right think low think high oh think think try ”,4
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"['authors', 'books', 'literature', 'reading', 'writing']",5,8,data/quotes/html/quotes_page_8.html,“ really knock book youre done reading wish author wrote terrific friend could call phone whenever felt like doesnt happen much though ”,5
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']",6,8,data/quotes/html/quotes_page_8.html,“ reason talk ’ one whose answer accept ”,2
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']",7,8,data/quotes/html/quotes_page_8.html,“ may say im dreamer im one hope someday youll join u world live one ”,2
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"['humor', 'sinister']",8,8,data/quotes/html/quotes_page_8.html,“ free prejudice hate everyone equally ”,4
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,[],9,8,data/quotes/html/quotes_page_8.html,“ question isnt going let going stop ”,6
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"['books', 'classic', 'reading']",10,8,data/quotes/html/quotes_page_8.html,“ ′classic′ book people praise dont read ”,4
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,['mistakes'],1,9,data/quotes/html/quotes_page_9.html,“ anyone never made mistake never tried anything new ”,6
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"['humor', 'love', 'romantic', 'women']",2,9,data/quotes/html/quotes_page_9.html,“ lady imagination rapid jump admiration love love matrimony moment ”,1
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,['integrity'],3,9,data/quotes/html/quotes_page_9.html,“ remember time come make choice right easy remember happened boy good kind brave strayed across path lord voldemort remember cedric diggory ”,5
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"['books', 'library', 'reading']",4,9,data/quotes/html/quotes_page_9.html,“ declare enjoyment like reading much sooner one tire thing book house shall miserable excellent library ”,4
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,"['elizabeth-bennet', 'jane-austen']",5,9,data/quotes/html/quotes_page_9.html,“ people really love still fewer think well see world dissatisfied every day confirms belief inconsistency human character little dependence placed appearance merit sense ”,1
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,"['age', 'fairytales', 'growing-up']",6,9,data/quotes/html/quotes_page_9.html,“ day old enough start reading fairy tale ”,4
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,['god'],7,9,data/quotes/html/quotes_page_9.html,“ necessarily doubting god best u wondering painful best turn ”,0
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,"['death', 'life']",8,9,data/quotes/html/quotes_page_9.html,“ fear death follows fear life man life fully prepared die time ”,5
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,"['misattributed-mark-twain', 'truth']",9,9,data/quotes/html/quotes_page_9.html,“ lie travel half way around world truth putting shoe ”,2
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,"['christianity', 'faith', 'religion', 'sun']",10,9,data/quotes/html/quotes_page_9.html,“ believe christianity believe sun risen see see everything else ”,4
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,['truth'],1,10,data/quotes/html/quotes_page_10.html,“ truth dumbledore sighed beautiful terrible thing therefore treated great caution ”,0
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"['death', 'life']",2,10,data/quotes/html/quotes_page_10.html,“ im one thats got die time die let live life way want ”,2
“To die will be an awfully big adventure.”,J.M. Barrie,"['adventure', 'love']",3,10,data/quotes/html/quotes_page_10.html,“ die awfully big adventure ”,0
“It takes courage to grow up and become who you really are.”,E.E. Cummings,['courage'],4,10,data/quotes/html/quotes_page_10.html,“ take courage grow become really ”,0
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,['life'],5,10,data/quotes/html/quotes_page_10.html,“ better get hurt truth comforted lie ”,0
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,['better-life-empathy'],6,10,data/quotes/html/quotes_page_10.html,“ never really understand person consider thing point view climb inside skin walk around ”,3
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']",7,10,data/quotes/html/quotes_page_10.html,“ write book want written book difficult grownup write child ”,5
“Never tell the truth to people who are not worthy of it.”,Mark Twain,['truth'],8,10,data/quotes/html/quotes_page_10.html,“ never tell truth people worthy ”,6
"“A person's a person, no matter how small.”",Dr. Seuss,['inspirational'],9,10,data/quotes/html/quotes_page_10.html,“ person person matter small ”,0
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"['books', 'mind']",10,10,data/quotes/html/quotes_page_10.html,“ mind need book sword need whetstone keep edge ”,5
